,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,durationsec
64,2011-01-25 18:52:50.986149073,CwrIKw3vFe5QabzZ5,192.168.3.131,56050,66.235.139.121,80,tcp,,0 days 00:00:12.409636,0,0,RSTR,,,0,ShAr,2,92,2,92,,normal,12.409636
65,2011-01-25 18:52:49.011248112,CLQgK11vZCNa57mJq6,192.168.3.131,56021,66.235.139.121,80,tcp,http,0 days 00:00:14.386742,6999,2523,RSTR,,,5664,ShADdaGr,6,1587,9,2895,,normal,14.386742
66,2011-01-25 18:53:05.063570976,CKfWib1VR71Khq6UN4,192.168.3.131,58350,208.82.236.129,80,tcp,http,0 days 00:00:00.109096,589,2406,SF,,,0,ShADdfFa,5,801,5,2618,,normal,0.109096
67,2011-01-25 18:53:05.227532148,CjDfba2VuNqsMOqboj,192.168.3.131,58351,208.82.236.130,80,tcp,http,0 days 00:00:00.163485,443,9166,SF,,,0,ShADdfFa,7,735,10,9578,,normal,0.163485
68,2011-01-25 18:53:05.227684975,Cdaxm62IXyEnUMFhC3,192.168.3.131,58352,208.82.236.130,80,tcp,http,0 days 00:00:00.164031,443,5918,SF,,,0,ShADdfFa,6,695,8,6250,,normal,0.164031
69,2011-01-25 18:53:05.227802038,CZWkve1kTRcey6UUn1,192.168.3.131,58353,208.82.236.130,80,tcp,http,0 days 00:00:00.179655,443,9716,SF,,,0,ShADdfFa,7,735,10,10128,,normal,0.179655
70,2011-01-25 18:53:02.471163988,CD33O31Exe0gUdyzti,192.168.3.131,52257,65.54.95.39,80,tcp,http,0 days 00:00:03.887511,261,176,SF,,,0,ShADadfF,6,513,5,388,,normal,3.887511
71,2011-01-25 18:53:07.058465958,Cndp0z3QCcXT5GFS6d,192.168.3.131,52266,65.54.95.39,80,tcp,http,0 days 00:00:03.302062,295,176,SF,,,0,ShADadfF,6,547,5,388,,normal,3.302062
72,2011-01-25 18:53:01.605478048,ClLA4y12qB5WxQxguk,192.168.3.131,56092,65.54.95.68,80,tcp,http,0 days 00:00:09.001580,660,4978,SF,,,0,ShADadfF,7,952,8,5310,,normal,9.00158
73,2011-01-25 18:53:01.610255957,CirmP21m1lGx8pUpIi,192.168.3.131,56093,65.54.95.68,80,tcp,http,0 days 00:00:11.662990,676,27502,SF,,,0,ShADadfF,14,1248,23,28434,,normal,11.66299
74,2011-01-25 18:53:01.603010893,C9rH9misuNrPYX055,192.168.3.131,56090,65.54.95.75,80,tcp,http,0 days 00:00:11.670368,660,3382,SF,,,0,ShADadfF,7,952,8,3714,,normal,11.670368
75,2011-01-25 18:53:01.605125904,Ce6nVx2CoeeA4WbzWl,192.168.3.131,56091,65.54.95.75,80,tcp,http,0 days 00:00:11.668291,660,5495,SF,,,0,ShADadfF,7,952,9,5867,,normal,11.668291
76,2011-01-25 18:53:08.639250994,CVOyLB1dGakQ8Xh4de,192.168.3.131,58360,208.82.236.129,80,tcp,http,0 days 00:00:06.693312,589,2456,SF,,,0,ShADdfFa,5,801,5,2668,,normal,6.693312
77,2011-01-25 18:53:08.639585018,CrpmuISt8jOsOant8,192.168.3.131,58361,208.82.236.130,80,tcp,http,0 days 00:00:06.825250,443,8822,SF,,,0,ShADdfFa,6,695,10,9234,,normal,6.82525
78,2011-01-25 18:53:15.397310019,Cufr9L24v3UIJLPdlf,192.168.3.131,58377,208.82.236.130,80,tcp,http,0 days 00:00:00.162112,443,8328,SF,,,0,ShADdfFa,6,695,9,8700,,normal,0.162112
79,2011-01-25 18:53:15.397560835,CZN8TK1r01iE1LKDWc,192.168.3.131,58378,208.82.236.130,80,tcp,http,0 days 00:00:00.173285,443,8748,SF,,,0,ShADdfFa,7,735,9,9120,,normal,0.173285
80,2011-01-25 18:53:16.084177971,CNUJra2E6CHdgNwxc,192.168.3.131,56129,207.46.148.38,80,tcp,http,0 days 00:00:00.032919999,645,2414,SF,,,0,ShADdfFa,5,857,4,2582,,normal,0.032919
81,2011-01-25 18:53:16.385761023,CDXzQM1qbgaJBz9aIg,192.168.3.131,56135,207.46.148.38,80,tcp,http,0 days 00:00:00.034952,646,1865,SF,,,0,ShADdfFa,5,858,4,2033,,normal,0.034952
82,2011-01-25 18:53:22.500683069,CDKZl52wlDCzNl3bqf,192.168.3.131,57838,72.14.213.105,80,tcp,,0 days 00:00:00.000073,0,0,SHR,,,0,^fA,1,40,1,40,,normal,7.3e-05
83,2011-01-25 18:53:16.207753897,Cy07g82jYC7boBcpAh,192.168.3.131,56132,65.54.95.140,80,tcp,http,0 days 00:00:07.064774,906,37189,SF,,,0,ShADdfFa,17,1598,29,38361,,normal,7.064774
